título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Talleres creativos en idioma serbio,"Talleres creativos para niños y niñas de 3 a16 años en idioma serbio (manualidades, bellas artes, ciencia, música, literatura, teatro, baile, cine, cultura).",Cultura y Espectáculos. Educación,Idiomas. Música. Talleres. Teatro Infantil,3,16,,,domingo,11:00,13:00,22/09/2024,22/06/2025,Madrid,Centro,0.0,True,False,True
Tertulias en Inglés (infantil) Biblioteca Vallecas,Sin descripción,Educación,Idiomas,8,12,True,semanal,miércoles,18:00,19:30,25/09/2024,11/06/2025,Madrid,Puente de Vallecas,0.0,True,True,False
Club de lectura (infantil) Biblioteca David Gistau,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.",Cultura y Espectáculos,Club de lectura,9,12,True,quincenal,lunes,18:00,19:30,30/09/2024,09/06/2025,Madrid,Salamanca,0.0,True,True,True
Taller de cómic (Infantil) Biblioteca Pozo del Tío Raimundo,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,8,11,True,quincenal,lunes,17:30,19:00,30/09/2024,02/06/2025,Madrid,Puente de Vallecas,0.0,True,True,True
Club de lectura (infantil) Biblioteca San Fermín,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.",Cultura y Espectáculos,Club de lectura,9,12,True,quincenal,miércoles,18:00,19:30,02/10/2024,18/06/2025,Madrid,Usera,0.0,True,True,True
Taller de ajedrez avanzado (Infantil-juvenil) Biblioteca Gabriel Gª Márquez,"Taller avanzado para el perfeccionamiento de la práctica del ajedrez, deporte de reconocidos beneficios a nivel cognitivo e intelectual que mejora la memoria, la concentración y permite ejercitar ambos hemisferios cerebrales.",Cultura y Espectáculos,Talleres,6,17,True,semanal,miércoles,19:00,20:00,02/10/2024,11/06/2025,Madrid,Usera,0.0,True,True,True
Taller de juegos (infantil) Biblioteca Francisco Ayala,Reuniones periódicas en las que se descubrirán diferentes juegos.,Cultura y Espectáculos,Talleres,6,10,True,mensual,miércoles,18:00,19:30,02/10/2024,28/05/2025,Madrid,Vicálvaro,0.0,True,True,True
Ludoteca en Centro Sociocultural El Greco,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,5,12,True,,"viernes, sábado",17:30,20:30,04/10/2024,28/06/2025,Madrid,Latina,0.0,True,True,False
Ludoteca en Centro Cultural José Luis Sampedro,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,5,12,True,,"viernes, sábado",17:30,20:30,04/10/2024,28/06/2025,Madrid,Latina,0.0,True,True,False
Ludoteca en Centro Sociocultural Almirante Churruca,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,5,12,True,,"viernes, sábado",17:30,20:30,04/10/2024,28/06/2025,Madrid,Latina,0.0,True,True,False
