título,tipo,lugar,distrito,fecha_inicio,fecha_fin,url
Taller de ajedrez avanzado (infantil-juvenil) Biblioteca María Lejárraga,CURSOS Y TALLERES,Biblioteca Pública Municipal María Lejárraga (Hortaleza),HORTALEZA,miércoles 19 de marzo de 2025,miércoles 4 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-infantil-juvenil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=991163008c7c5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Manualidades,CURSOS Y TALLERES,Biblioteca Pública Municipal Gabriel García Márquez (Usera),USERA,martes 25 de marzo de 2025,martes 24 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Manualidades/?vgnextfmt=default&vgnextoid=3da790ec79b45910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres de Price (De 7 a 9 años),CURSOS Y TALLERES,Teatro Circo Price,ARGANZUELA,sábado 29 de marzo de 2025,sábado 14 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-de-Price-De-7-a-9-anos-/?vgnextfmt=default&vgnextoid=f981045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres del Price (5 y 6 años),CURSOS Y TALLERES,Teatro Circo Price,ARGANZUELA,sábado 29 de marzo de 2025,sábado 14 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-del-Price-5-y-6-anos-/?vgnextfmt=default&vgnextoid=12a1045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
LUDOTECAS,CURSOS Y TALLERES,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 5 de abril de 2025,sábado 26 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/LUDOTECAS/?vgnextfmt=default&vgnextoid=6ed8bf0a69363910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
LUDOTECAS,CURSOS Y TALLERES,Centro Sociocultural Valverde (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 5 de abril de 2025,sábado 26 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/LUDOTECAS/?vgnextfmt=default&vgnextoid=4048227bcdbd5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller infantil. Reciclo y utilizo,CURSOS Y TALLERES,Centro Cultural Carril del Conde (Hortaleza),HORTALEZA,sábado 5 de abril de 2025,sábado 26 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-infantil-Reciclo-y-utilizo/?vgnextfmt=default&vgnextoid=ea08c4af1b0f5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Deportes populares y tradicionales para familias,"TEATRO PERFOMANCE, 
            
            EXPOSICIONES",Centro Cultural Galileo (Chamberí),CHAMBERI,sábado 5 de abril de 2025,sábado 26 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Deportes-populares-y-tradicionales-para-familias/?vgnextfmt=default&vgnextoid=97b8e7bd62dc5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
TALLERES INFANTILES,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 5 de abril de 2025,domingo 27 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/TALLERES-INFANTILES/?vgnextfmt=default&vgnextoid=4ae0b2de9aa7e810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
TALLERES FAMILIARES,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,domingo 6 de abril de 2025,sábado 26 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/TALLERES-FAMILIARES/?vgnextfmt=default&vgnextoid=ac22b2de9aa7e810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento urbano Semana Santa 2025. Distrito de Moratalaz,CAMPAMENTOS,Colegio Público Regimiento Inmemorial del Rey,MORATALAZ,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-Semana-Santa-2025-Distrito-de-Moratalaz/?vgnextfmt=default&vgnextoid=40d76b2e8b815910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento urbano de primavera en Usera,CAMPAMENTOS,Sin lugar,Sin distrito,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-de-primavera-en-Usera/?vgnextfmt=default&vgnextoid=9441898ec60f4910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca de Semana Santa en Hortaleza,"FIESTAS DE SEMANA SANTA, 
            
            CAMPAMENTOS",Centro Cultural Hortaleza,HORTALEZA,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-de-Semana-Santa-en-Hortaleza/?vgnextfmt=default&vgnextoid=5a5feae823b55910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento días no lectivos Semana Santa en Salamanca,CAMPAMENTOS,Colegio Público Amador de los Ríos,SALAMANCA,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-dias-no-lectivos-Semana-Santa-en-Salamanca/?vgnextfmt=default&vgnextoid=95eb1b9492165910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento Urbano de Semana Santa 2025. Distrito de Villaverde,CAMPAMENTOS,Colegio Público Cristóbal Colón,VILLAVERDE,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-Urbano-de-Semana-Santa-2025-Distrito-de-Villaverde/?vgnextfmt=default&vgnextoid=f6dbab5fc0345910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamentos urbanos de Semana Santa 2025. Distrito San Blas - Canillejas,CAMPAMENTOS,Colegio Público Carmen Cabezuelo,SAN BLAS-CANILLEJAS,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamentos-urbanos-de-Semana-Santa-2025-Distrito-San-Blas-Canillejas/?vgnextfmt=default&vgnextoid=7859110d84384910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento urbano de Semana Santa. Distrito Retiro,CAMPAMENTOS,Colegio Público Ciudad de Roma,RETIRO,viernes 11 de abril de 2025,lunes 21 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-de-Semana-Santa-Distrito-Retiro/?vgnextfmt=default&vgnextoid=63144a9ad0e15910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Super concurso de las “3R”,CURSOS Y TALLERES,Centro de Educación Ambiental y Cultural Maris Stella (Usera),USERA,viernes 18 de abril de 2025,viernes 18 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Super-concurso-de-las-3R/?vgnextfmt=default&vgnextoid=bd3ceee2b72b5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Kukuryku - Cía. Ola Muchin (Cataluña),"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            MADRID DESTINO",Teatro Municipal de Títeres,RETIRO,sábado 19 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Kukuryku-Cia-Ola-Muchin-Cataluna-/?vgnextfmt=default&vgnextoid=d3dd9cb2f80d4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Una noche de espías,TEATRO PERFOMANCE,Centro Cultural Casa de Vacas (Retiro),RETIRO,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Una-noche-de-espias/?vgnextfmt=default&vgnextoid=b09a6c73218b5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"PAYASAS: ""Risa y carcajada: un musical de alegría""",Sin tipo,Centro Cultural el Torito (Moratalaz),MORATALAZ,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/PAYASAS-Risa-y-carcajada-un-musical-de-alegria-/?vgnextfmt=default&vgnextoid=1ee5db7ff8cc5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller 'Todos los animales están conectados e impresión de huellas en arcilla,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES, 
            
            EXCURSIONES ITINERARIOS VISITAS",Aula ambiental La Cabaña del Retiro,RETIRO,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-Todos-los-animales-estan-conectados-e-impresion-de-huellas-en-arcilla/?vgnextfmt=default&vgnextoid=f1e88b56808d5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
¡Jugamos con las cariocas! Crea tus propios juguetes,CURSOS Y TALLERES,Centro de Educación Ambiental y Cultural Maris Stella (Usera),USERA,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Jugamos-con-las-cariocas-Crea-tus-propios-juguetes/?vgnextfmt=default&vgnextoid=8f0deee2b72b5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Pasaporte al espacio, observación solar + taller de cohetes",CURSOS Y TALLERES,Auditorio Municipal al aire libre Lola Camarena,VILLA DE VALLECAS,sábado 19 de abril de 2025,sábado 19 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Pasaporte-al-espacio-observacion-solar-taller-de-cohetes/?vgnextfmt=default&vgnextoid=741bc72ef37c5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El universo literario de Tim Burton. Dumbo,CINE ACTIVIDADES AUDIOVISUALES,Cineteca Madrid,ARGANZUELA,domingo 20 de abril de 2025,domingo 20 de abril de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-universo-literario-de-Tim-Burton-Dumbo/?vgnextfmt=default&vgnextoid=f155c241037d5910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
