título,descripción,edad,inscripción,periodicidad,día_días,horario,fecha,lugar_nombre,lugar_dirección,precio,recomendación,url_ampliar_info,url_imagen,url_actividad
Orcobblu,Edad recomendada: +5 años,No especificada,No especificada,No especificada,domingo,a las 12 horas,Domingo 11 de mayo de 2025,Centro Cultural Meseta de Orcasitas (Usera),"PLAZA ASOCIACION, 1 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-del-Centro-Cultural-Meseta-de-Orcasitas/?vgnextfmt=default&vgnextoid=82fe2d24e6f61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Usera/ProgramacionCulturalUsera/ficheros/1205_Orcobblu.png,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Orcobblu/?vgnextfmt=default&vgnextoid=d6ac03a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Crea tus propios imanes para celebrar el Día Mundial de las aves Migratorias,Horario:﻿ de 10:30 a 12 horas.,a partir de 4 años,No especificada,No especificada,domingo,a las 10:30 horas,Domingo 11 de mayo de 2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera),"CALLE DOCTOR TOLOSA LATOUR, 16 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-de-Educacion-Ambiental-y-Cultural-Maris-Stella/?vgnextfmt=default&vgnextoid=4e25ce5179e61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Usera/ProgramacionCulturalUsera/MarisStella/ficheros/0512_Crea_Imanes.png,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Crea-tus-propios-imanes-para-celebrar-el-Dia-Mundial-de-las-aves-Migratorias/?vgnextfmt=default&vgnextoid=2473cbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Leo y la música,Los domingos del Pozo.,No especificada,No especificada,No especificada,domingo,a las 12 horas,Domingo 11 de mayo de 2025,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),"AVENIDA GLORIETAS, 19 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-El-Pozo-del-Tio-Raimundo/?vgnextfmt=default&vgnextoid=5c0f16c17a87f610VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/PuenteVallecas/Actividades/ficheros/1905VF.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Leo-y-la-musica/?vgnextfmt=default&vgnextoid=84fb1dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Cuentos con amor por un mundo mejor,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",a partir de 3 años,No especificada,No especificada,lunes,a las 12 horas,Domingo 11 de mayo de 2025,Biblioteca Pública Municipal Ángel González (Latina),"CALLE GRANJA DE TORREHERMOSA, 1 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-del-5-al-11-de-mayo/?vgnextfmt=default&vgnextoid=6caba32d985f5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/Actividades/Actividades_Infantiles_Juveniles/Cuentacuentos/ficheros/250425_CuentosLinterna_260x260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentos-con-amor-por-un-mundo-mejor/?vgnextfmt=default&vgnextoid=0d40468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El dragón Nabú,,Recomendado para mayores de 4 años,No especificada,No especificada,domingo,a las 12 horas,Domingo 11 de mayo de 2025,Auditorio Joaquín Rosado (Moncloa-Aravaca),"CALLE SANTA POLA, 22 28008 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/UnidadesDescentralizadas/DistritoMoncloaAravaca/Actividades/2025/05Mayo2025/Carteleria/ANIMATHOR.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-dragon-Nabu/?vgnextfmt=default&vgnextoid=dc9c2ce8b3086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Teatro Familiar - Texturas,Sin descripción,de 1 a 6 años,No especificada,No especificada,domingo,a las 18 horas,Domingo 11 de mayo de 2025,Centro Cultural Galileo (Chamberí),"CALLE GALILEO, 39 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Programacion-Cultural-Chamberi/?vgnextfmt=default&vgnextoid=5ea6daba65bc4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/DistritoChamberi/Actividades/ficheros/cuadrado345.JPG,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Teatro-Familiar-Texturas/?vgnextfmt=default&vgnextoid=8e29fa9f39b76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Espectáculo con magia, malabares y clown: ""Emi Mc-Clown, el payaso más mago y el mago más payaso""",¿Has conocido alguna vez al Payaso más Mago y al Mago más Payaso? ¡Pues Emi Mc-clown lo es!,desde 5 años,No especificada,No especificada,domingo,a las 12 horas,Domingo 11 de mayo de 2025,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),"CALLE MIRA EL RIO, 4 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-Centro-Sociocultural-Alfonso-XII-Fuencarral-El-Pardo-Mayo-2025/?vgnextfmt=default&vgnextoid=4f88d17704a1c810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Espectaculo-con-magia-malabares-y-clown-Emi-Mc-Clown-el-payaso-mas-mago-y-el-mago-mas-payaso-/?vgnextfmt=default&vgnextoid=ec7e3af1ecc66910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres Infantiles,Para menores de 6 a 8 años. Máximo 20 plazas.,de 6 a 8 años,No especificada,No especificada,domingo,De 11 a 12 h,Del domingo 11 de mayo de 2025 al domingo 18 de mayo de 2025,Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),"Carretera M-607 Km 13 L-10, null MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-Centro-de-Interpretacion-de-la-Naturaleza-de-Montecarmelo-Mayo-2025/?vgnextfmt=default&vgnextoid=8265f1527cd5a810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-Infantiles/?vgnextfmt=default&vgnextoid=7ad352544dd2f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
La troupe del circo,Calle abierta infantil.,No especificada,No especificada,No especificada,domingo,a las 12:30 horas,Domingo 11 de mayo de 2025,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Calle-abierta-infantil/?vgnextfmt=default&vgnextoid=6ef0157f943cf810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/PuenteVallecas/Actividades/ficheros/1905Caperucita.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-troupe-del-circo/?vgnextfmt=default&vgnextoid=b09d02ca7c186910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Mestre Fufo,"Un mozo de cuerda, de los que ayudaban a los viajeros con el equipaje en el pasado siglo, va a entregar un baúl dirigido a un tal Mestre Fufo (afamado payaso de la época). Pero éste no está... En su lugar aparece un misterioso pianista que abrirá la puerta a la incertidumbre, al cruce de caminos, a la oportunidad de convertirlo todo en otra cosa.",a partir de 3 años,No especificada,No especificada,domingo,a las 12:30 horas,Domingo 11 de mayo de 2025,Centro Cultural Fernando Lázaro Carreter (Carabanchel),"CALLE VERDAD, 29 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-en-el-Centro-Cultural-Fernando-Lazaro-Carreter/?vgnextfmt=default&vgnextoid=25bff36edd371910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Carabanchel/ficheros/Mestrefufo.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Mestre-Fufo/?vgnextfmt=default&vgnextoid=ced9d865b7c66910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
