ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;MODELO;ACCESIBLE
"9959188";"Varios Juegos en Áreas Infantiles";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447056.856";"4468365.556";"ETRS89";40.36418065;-3.62355907;;;;"28031";;;;;"PV24";;
"9945493";"Escalada en Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439286.918";"4473526.957";"ETRS89";40.41014752;-3.71555821;"CALLE";"ROSARIO";"13";"28005";"PARQUE DE LA CORNISA";"11001192";"2024-12-27 00:00:00.0";"0105307";"AE21";;
"9945489";"Balancín en Área Infantil";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439292.011";"4473522.327";"ETRS89";40.41010618;-3.71549774;"CALLE";"ROSARIO";"13";"28005";"PARQUE DE LA CORNISA";"11001192";"2024-12-27 00:00:00.0";"0105304";"AE21";;
"9929591";"Carrusel en Área Infantil";"083";"PEÑAGRANDE";"08";"FUENCARRAL-EL PARDO";"OPERATIVO";"439042.109";"4481381.219";"ETRS89";40.48088394;-3.71919707;"CALLE";"ISLA DE TAVIRA";"32";"28035";"ISLA DE TAVIRA, 32";"11047922";"2024-10-10 00:00:00.0";"0821301";"AE21";;
"9928418";"Columpio en Área Infantil";"111";"COMILLAS";"11";"CARABANCHEL";"OPERATIVO";"439571.264";"4471626.122";"ETRS89";40.39304458;-3.71202674;"CALLE";"INMACULADA CONCEPCION";"21";"28019";"INMACULADA CONCEPCION, 21";"11069513";"2025-01-01 00:00:00.0";"1122708";"AE21";;
"9889447";"Varios Juegos en Áreas Infantiles";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"447563.917";"4482467.245";"ETRS89";40.49124931;-3.61875041;"Avenida";"Avenida de las Fuerzas Armadas";;"28055";;;;;"PV24";;
"9889434";"Varios Juegos en Áreas Infantiles";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"447565.501";"4482458.378";"ETRS89";40.49116953;-3.61873099;"Avenida";"Avenida de las Fuerzas Armadas";;"28055";;;;;"PV24";;
"9888846";"Columpio en Área Infantil";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"446872.234";"4480347.965";"ETRS89";40.47211377;-3.62673429;"Calle";"Calle Ariadna";;"28033";;;;;"PV24";;
"9876493";"Balancín en Área Infantil";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447397.833";"4469540.599";"ETRS89";40.37478784;-3.61964024;"CALLE";"BUBIERCA";"2";"28031";"CALLE SIERRA AITANA";"11131297";"2025-01-03 00:00:00.0";"1803816";"AE21";;
"9876010";"Carrusel en Área Infantil";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438772.897";"4475553.992";"ETRS89";40.42837028;-3.72181109;"Paseo";"Paseo de Camoens";;"28008";;;;;"PV24";;
"9876002";"Multijuego en Área Infantil";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438755.84";"4475554.605";"ETRS89";40.42837455;-3.72201222;"Paseo";"Paseo de Camoens";;"28008";;;;;"PV24";;
"9873494";"Balancín en Área Infantil";"201";"SIMANCAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447167.301";"4475700.674";"ETRS89";40.43026717;-3.62286699;"CALLE";"YUNCOS";"1";"28037";"Pq · PARQUE SAN BLAS , ASCENDIENTE 1: 201 · SIMAN";"11134803";"2024-09-26 00:00:00.0";"2002812";"AE21";;
"9873133";"Columpio en Área Infantil";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437781.017";"4472915.794";"ETRS89";40.40453071;-3.73324549;"CALLE";"LUISA MURIEL";"2";"28047";"CALLE SEPULVEDA 109-111, ASCENDIENTE 1: 101 · CÁRMEN";"11059611";"2024-11-15 00:00:00.0";"1007925";"AE21";;
"9873127";"Carrusel en Área Infantil";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437781.216";"4472908.452";"ETRS89";40.40446458;-3.73324243;"CALLE";"LUISA MURIEL";"2";"28047";"CALLE SEPULVEDA 109-111, ASCENDIENTE 1: 101 · CÁRMEN";"11059611";"2024-11-15 00:00:00.0";"1007924";"AE21";;
"9873060";"Carrusel en Área Infantil";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437778.636";"4472915.794";"ETRS89";40.40453053;-3.73327355;"CALLE";"LUISA MURIEL";"2";"28047";"CALLE SEPULVEDA 109-111, ASCENDIENTE 1: 101 · CÁRMEN";"11059611";"2024-11-15 00:00:00.0";"1007922";"AE21";;
"9870884";"Multijuego en Área Infantil";"105";"CAMPAMENTO";"10";"LATINA";"OPERATIVO";"434609.588";"4472035.584";"ETRS89";40.39635842;-3.77052697;"CALLE";"CARDAÑO";"6";"28024";"PZA PATRICIO MNEZ";"11066174";"2024-12-19 00:00:00.0";"1005911";"AE21";;
"9869091";"Multijuego en Área Infantil";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"443846.891";"4471255.247";"ETRS89";40.39000275;-3.66161799;"CALLE";"ANTONIO FOLGUERAS";"22";"28018";"CALLE ANTONIO FOLGUERAS, 22     ";"11095006";"2024-12-17 00:00:00.0";"1303918";"AE21";;
"9868129";"Carrusel en Área Infantil";"036";"NIÑO JESUS";"03";"RETIRO";"OPERATIVO";"442879.595";"4474116.445";"ETRS89";40.41571223;-3.67327107;"CALLE";"DOCE DE OCTUBRE";"30  B";"28009";"PLAZA DR LAGUNA 1";"31065522";"2024-10-20 00:00:00.0";"0306806";"AE21";;
"9838320";"Multijuego en Área Infantil";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"436120.288";"4473875.004";"ETRS89";40.41304588;-3.75291175;"PASEO";"Paseo Puerta del Angel";"1";"28011";;;"2024-12-05 00:00:00.0";;"PV24";;
